account_id,company_name,billing_email,segment,industry,country,employee_count,plan,mrr,status,cs_owner,created_date,health_score,nps_score,last_qbr_date
ACC-0045,Company 045,billing@company045.com,SMB,Retail,Brazil,1677,Growth,817,At Risk,Juliana Matos,2023-06-25,26,4,2024-09-05
ACC-0046,Company 046,billing@company046.com.br,Enterprise,SaaS,Brazil,2555,Starter,390,Active,Ana Lima,2022-05-06,80,,
ACC-0047,Company 047,billing@company047.io,Enterprise,Logistics,Argentina,2400,Growth,879,Active,Fernanda Rocha,2021-11-12,63,7,
ACC-0048,Company 048,billing@company048.com,SMB,EdTech,Argentina,1128,Starter,470,Active,Ana Lima,2024-05-12,45,6,2024-09-16
ACC-0049,Company 049,billing@company049.com.br,Mid-Market,Retail,Mexico,4760,Enterprise,5117,Active,Bruno Alves,2022-09-04,29,7,2024-10-09
ACC-0050,Company 050,billing@company050.com,SMB,SaaS,Brazil,4694,Growth,847,Churned,Carlos Souza,2022-01-22,31,0,2024-12-27
ACC-0051,Company 051,billing@company051.co,Mid-Market,Logistics,Brazil,1044,Growth,877,Active,Juliana Matos,2021-11-08,52,1,
ACC-0052,Company 052,billing@company052.io,Mid-Market,Fintech,USA,2181,Starter,335,Active,Juliana Matos,2021-11-13,98,,2025-03-12
ACC-0053,Company 053,billing@company053.co,SMB,SaaS,Argentina,4007,Enterprise,5172,Active,Juliana Matos,2022-10-11,14,,
ACC-0054,Company 054,billing@company054.io,SMB,Logistics,Brazil,833,Enterprise,5062,Churned,Carlos Souza,2021-07-05,24,,2024-01-29
ACC-0055,Company 055,billing@company055.com.br,Mid-Market,EdTech,USA,4646,Growth,923,Active,Carlos Souza,2022-05-16,31,,2024-07-14
ACC-0056,Company 056,billing@company056.io,SMB,Healthtech,Brazil,3787,Professional,2112,Active,Fernanda Rocha,2024-04-09,68,,2024-08-26
ACC-0057,Company 057,billing@company057.io,Mid-Market,E-commerce,Mexico,2460,Professional,2112,Active,Bruno Alves,2023-06-24,98,4,2024-04-11
ACC-0058,Company 058,billing@company058.com.br,Mid-Market,EdTech,Brazil,4718,Enterprise,5024,Active,Fernanda Rocha,2023-02-21,12,10,
ACC-0059,Company 059,billing@company059.io,SMB,EdTech,Argentina,4079,Enterprise,5162,At Risk,Fernanda Rocha,2021-04-11,39,9,
ACC-0060,Company 060,billing@company060.com,Enterprise,SaaS,Brazil,332,Professional,2028,Active,Bruno Alves,2021-10-08,14,9,2024-02-16
ACC-0061,Company 061,billing@company061.com.br,Mid-Market,Healthtech,Mexico,3007,Growth,884,Active,Juliana Matos,2022-02-16,44,2,2024-09-03
ACC-0062,Company 062,billing@company062.com.br,Mid-Market,Logistics,Brazil,1163,Professional,2142,Active,Carlos Souza,2021-08-24,96,10,2025-02-15
ACC-0063,Company 063,billing@company063.com.br,SMB,E-commerce,Mexico,1022,Growth,865,At Risk,Fernanda Rocha,2021-01-29,96,10,2025-02-25
ACC-0064,Company 064,billing@company064.co,SMB,Logistics,Brazil,4609,Enterprise,5032,Active,Juliana Matos,2022-04-24,38,,2024-08-25
ACC-0065,Company 065,billing@company065.co,SMB,Fintech,Brazil,2503,Growth,875,Active,Ana Lima,2021-10-14,22,,2024-07-08
ACC-0066,Company 066,billing@company066.io,SMB,Logistics,Mexico,1275,Enterprise,5175,Active,Bruno Alves,2024-01-12,93,1,2024-05-23
ACC-0067,Company 067,billing@company067.com.br,Enterprise,Healthtech,Brazil,823,Professional,2124,Active,Fernanda Rocha,2023-06-30,79,10,
ACC-0068,Company 068,billing@company068.io,Mid-Market,Fintech,Argentina,1747,Starter,413,Active,Juliana Matos,2023-07-21,12,0,
ACC-0069,Company 069,billing@company069.com,Enterprise,Healthtech,Mexico,1779,Professional,2157,Active,Carlos Souza,2024-02-10,52,,
ACC-0070,Company 070,billing@company070.com.br,Enterprise,Fintech,Argentina,221,Enterprise,4982,Active,Ana Lima,2021-12-24,55,3,
ACC-0071,Company 071,billing@company071.com,Mid-Market,Fintech,Argentina,530,Starter,370,At Risk,Bruno Alves,2023-12-14,56,,2024-04-23
ACC-0072,Company 072,billing@company072.io,SMB,E-commerce,USA,265,Starter,264,At Risk,Bruno Alves,2023-12-04,61,,2024-08-15
ACC-0073,Company 073,billing@company073.co,Enterprise,Fintech,Brazil,2262,Enterprise,5108,Active,Juliana Matos,2021-10-31,80,5,2024-09-28
ACC-0074,Company 074,billing@company074.io,Mid-Market,Retail,Argentina,947,Growth,967,Active,Juliana Matos,2021-07-23,37,6,2024-07-30
ACC-0075,Company 075,billing@company075.com,Mid-Market,E-commerce,USA,2570,Enterprise,5119,Active,Fernanda Rocha,2021-07-14,57,2,
ACC-0076,Company 076,billing@company076.com.br,Enterprise,Retail,Brazil,4567,Starter,264,Active,Juliana Matos,2023-02-03,81,8,2024-07-29
ACC-0077,Company 077,billing@company077.io,Mid-Market,Retail,Argentina,431,Enterprise,5196,Churned,Fernanda Rocha,2023-05-17,24,,2024-04-18
ACC-0078,Company 078,billing@company078.com.br,Enterprise,E-commerce,Mexico,3021,Professional,1978,Active,Fernanda Rocha,2021-08-10,83,3,2025-01-27
ACC-0079,Company 079,billing@company079.co,SMB,EdTech,Argentina,2200,Professional,1956,Active,Carlos Souza,2021-02-23,44,4,2024-04-02
ACC-0080,Company 080,billing@company080.co,Enterprise,SaaS,Argentina,261,Professional,1972,Active,Juliana Matos,2021-10-18,37,6,2024-03-21
